Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91834696,2023-04-05 00:12:37,-3.19,0.63,56.8883333333,-158.1021666667,3.30 km (2.05 mi) E of Aniakchak (77º)
av91834686,2023-04-05 00:05:26,-3.18,2.18,56.8981666667,-158.0713333333,5.41 km (3.36 mi) E of Aniakchak (70º)
av91834476,2023-04-04 21:33:34,-3.2,1.96,56.8471666667,-158.0261666667,8.71 km (5.41 mi) SE of Aniakchak (116º)
av91833541,2023-04-04 06:32:04,1.94,1.74,56.8575,-158.062,6.25 km (3.88 mi) SE of Aniakchak (115º)
av91096848,2023-04-04 06:31:52,2.29,1.73,56.8541666667,-158.0523333333,6.94 km (4.31 mi) SE of Aniakchak (116º)
av91833311,2023-04-04 02:26:24,-3.2,0.9,56.914,-158.1253333333,4.04 km (2.51 mi) NE of Aniakchak (26º)
av91832726,2023-04-03 17:19:47,-3.18,2.64,56.9015,-158.1238333333,2.92 km (1.81 mi) NE of Aniakchak (40º)
av91832706,2023-04-03 16:55:06,-3.2,1.47,56.9081666667,-158.0893333333,4.97 km (3.09 mi) ENE of Aniakchak (53º)
av91831696,2023-04-02 21:46:59,-3.2,0.63,56.8968333333,-158.1446666667,1.82 km (1.13 mi) NNE of Aniakchak (20º)
av91830926,2023-04-02 11:28:04,-3.17,0.8,56.8791666667,-158.1948333333,2.43 km (1.51 mi) W of Aniakchak (264º)
av91829371,2023-04-01 16:07:51,8.38,2.64,56.85,-158.0575,6.88 km (4.27 mi) SE of Aniakchak (121º)
av91827626,2023-03-31 11:29:32,-3.2,1.5,56.9113333333,-158.0803333333,5.62 km (3.49 mi) ENE of Aniakchak (54º)
av91827316,2023-03-31 07:26:12,-3.2,1.74,56.9011666667,-158.155,2.19 km (1.36 mi) N of Aniakchak (0º)
av91096388,2023-03-29 22:39:05,-3.2,1.55,56.909,-158.0976666667,4.63 km (2.88 mi) ENE of Aniakchak (49º)
av91824686,2023-03-29 19:46:40,-3.2,0.92,56.9078333333,-158.085,5.16 km (3.21 mi) ENE of Aniakchak (55º)
av91096338,2023-03-29 14:32:23,-2.91,1.66,56.8856666667,-158.1103333333,2.75 km (1.71 mi) E of Aniakchak (80º)
av91823966,2023-03-29 07:29:21,1.02,1.56,56.8498333333,-158.0231666667,8.75 km (5.44 mi) SE of Aniakchak (114º)
av91823661,2023-03-29 01:59:05,-3.2,0.84,56.8578333333,-158.1485,2.66 km (1.65 mi) S of Aniakchak (171º)
av91096428,2023-03-29 01:46:47,-2.45,0.4,56.874,-158.1433333333,1.09 km (0.68 mi) SSE of Aniakchak (140º)
av91096423,2023-03-29 01:23:48,-3.2,1.05,56.9165,-158.1116666667,4.70 km (2.92 mi) NE of Aniakchak (34º)
av91823266,2023-03-28 18:24:41,-3.2,1.38,56.9106666667,-158.0961666667,4.83 km (3.00 mi) ENE of Aniakchak (48º)
av91823141,2023-03-28 15:26:23,-3.2,1.44,56.9078333333,-158.088,5.01 km (3.11 mi) ENE of Aniakchak (54º)
av91822311,2023-03-27 23:42:28,-1.4,0.8,56.8711666667,-158.2086666667,3.46 km (2.15 mi) W of Aniakchak (251º)
av91821661,2023-03-27 15:04:48,-3.17,1.03,56.9001666667,-158.1045,3.70 km (2.30 mi) ENE of Aniakchak (56º)
av91096118,2023-03-27 14:49:15,4.31,0.46,56.8541666667,-158.1355,3.26 km (2.03 mi) S of Aniakchak (159º)
av91821456,2023-03-27 12:11:52,-3.2,1.36,56.8741666667,-158.2115,3.53 km (2.19 mi) W of Aniakchak (257º)
av91821436,2023-03-27 12:02:46,-3.17,2.02,56.9058333333,-158.152,2.71 km (1.68 mi) NNE of Aniakchak (4º)
av91821051,2023-03-27 04:52:40,-3.2,1.35,56.8998333333,-158.0745,5.30 km (3.29 mi) ENE of Aniakchak (67º)
av91820481,2023-03-26 19:52:47,-3.2,0.92,56.8998333333,-158.1128333333,3.27 km (2.03 mi) ENE of Aniakchak (51º)
av91820101,2023-03-26 13:01:17,-3.17,1.38,56.9016666667,-158.116,3.26 km (2.03 mi) ENE of Aniakchak (47º)
av91819396,2023-03-26 01:19:12,-3.2,1.17,56.8736666667,-158.0518333333,6.33 km (3.93 mi) ESE of Aniakchak (98º)
av91819386,2023-03-26 01:06:13,-3.2,1.33,56.9066666667,-158.0938333333,4.65 km (2.89 mi) ENE of Aniakchak (53º)
av91819336,2023-03-26 00:24:49,-3.2,0.92,56.8575,-158.0895,4.79 km (2.98 mi) SE of Aniakchak (124º)
av91818861,2023-03-25 16:21:59,-3.2,1.42,56.8918333333,-158.074,5.05 km (3.14 mi) E of Aniakchak (77º)
av91818836,2023-03-25 15:56:21,5.63,2.53,56.8816666667,-158.181,1.58 km (0.98 mi) WNW of Aniakchak (271º)
av91096033,2023-03-25 12:28:33,1.69,0.38,56.8571666667,-158.0648333333,6.11 km (3.80 mi) SE of Aniakchak (116º)
av91096028,2023-03-25 12:22:35,1.85,0.45,56.8541666667,-158.0583333333,6.61 km (4.11 mi) SE of Aniakchak (117º)
av91818626,2023-03-25 12:20:06,-3.16,1.04,56.8708333333,-158.1243333333,2.21 km (1.37 mi) SE of Aniakchak (122º)
av91818366,2023-03-25 06:21:27,-3.2,1.36,56.9043333333,-158.0816666667,5.13 km (3.18 mi) ENE of Aniakchak (60º)
av91095793,2023-03-24 00:57:08,-1.77,1.24,56.872,-158.175,1.61 km (1.00 mi) WSW of Aniakchak (229º)
av91816966,2023-03-23 15:06:21,-3.02,2.15,56.8751666667,-158.2056666667,3.16 km (1.96 mi) W of Aniakchak (257º)
av91816801,2023-03-23 10:40:56,1.47,1.13,56.9313333333,-158.0166666667,10.06 km (6.25 mi) ENE of Aniakchak (57º)
av91816781,2023-03-23 09:59:59,5.17,0.9,56.9171666667,-158.0983333333,5.25 km (3.26 mi) NE of Aniakchak (41º)
av91095753,2023-03-23 08:40:15,4.34,0.58,56.9098333333,-158.0656666667,6.27 km (3.90 mi) ENE of Aniakchak (60º)
av91816561,2023-03-23 05:41:44,3.13,1.25,56.923,-158.0513333333,7.80 km (4.85 mi) ENE of Aniakchak (54º)
av91816551,2023-03-23 05:29:49,3.32,1.85,56.9156666667,-158.05,7.42 km (4.61 mi) ENE of Aniakchak (59º)
av91816481,2023-03-23 03:58:28,1.55,2,56.8645,-158.1811666667,2.47 km (1.53 mi) SW of Aniakchak (220º)
av91816361,2023-03-23 01:23:45,-1.15,0.98,56.9118333333,-158.0376666667,7.88 km (4.90 mi) ENE of Aniakchak (65º)
av91095678,2023-03-23 01:18:17,-0.1,2.26,56.916,-158.0106666667,9.57 km (5.94 mi) ENE of Aniakchak (66º)
av91816351,2023-03-23 01:18:10,-0.14,2.2,56.912,-158.0255,8.56 km (5.32 mi) ENE of Aniakchak (67º)
av91816336,2023-03-23 00:55:11,5.04,0.83,56.942,-158.0586666667,8.91 km (5.54 mi) NE of Aniakchak (41º)
av91816311,2023-03-23 00:38:31,4.04,1.77,56.9258333333,-158.0456666667,8.27 km (5.13 mi) ENE of Aniakchak (53º)
av91816306,2023-03-23 00:37:23,10.13,0.74,56.8956666667,-158.206,3.48 km (2.16 mi) NW of Aniakchak (297º)
av91816271,2023-03-23 00:04:21,1.77,1.21,56.9051666667,-158.0481666667,7.00 km (4.35 mi) E of Aniakchak (68º)
av91816146,2023-03-22 22:10:57,-0.7,1.14,56.9156666667,-158.037,8.11 km (5.04 mi) ENE of Aniakchak (62º)
av91816131,2023-03-22 21:56:24,-0.1,1.4,56.9223333333,-158.0083333333,10.00 km (6.21 mi) ENE of Aniakchak (63º)
av91815931,2023-03-22 19:13:36,1.67,1.23,56.9248333333,-158.033,8.84 km (5.49 mi) ENE of Aniakchak (57º)
av91815826,2023-03-22 17:37:00,6.19,1.12,56.9023333333,-158.184,2.91 km (1.81 mi) NNW of Aniakchak (323º)
av91815796,2023-03-22 17:14:38,6.76,0.49,56.9141666667,-158.087,5.50 km (3.42 mi) ENE of Aniakchak (49º)
av91815686,2023-03-22 16:07:20,-0.91,2.33,56.9053333333,-158.0083333333,9.29 km (5.77 mi) E of Aniakchak (73º)
av91815371,2023-03-22 08:12:59,-2.8,1.91,56.85,-158.0201666667,8.91 km (5.53 mi) SE of Aniakchak (113º)
